Histone variant,Previous HGNC Symbol,Interactor gene,Interactor category,PDBID,BioGRID count,String count,IntAct count
H1.3,HIST1H1D,HMGA1,"Histone chaperones,TF,Replication associated,HMG",,1,1,0
H1.3,HIST1H1D,ZNF662,,,0,1,1
H1.3,HIST1H1D,CCNB1IP1,,,0,1,1
H1.3,HIST1H1D,AGPAT2,,,0,1,1
H1.3,HIST1H1D,PDE6H,,,1,0,1
H1.3,HIST1H1D,LYAR,,,0,0,1
H1.3,HIST1H1D,H3C15,,,0,0,1
canonical H4,"HIST1H4F,HIST1H4A,HIST1H4I",DAXX,"Histone chaperones,TF",,"1,4,0","1,4,3","0,0,3"
canonical H4,"HIST1H4F,HIST1H4A,HIST1H4I",CHAF1B,"Histone chaperones,Replication associated,DNA repair",,"1,2,0","1,2,1","0,0,1"
canonical H4,"HIST1H4F,HIST1H4A",HIRA,"Histone chaperones,TF",,"1,1","1,0","0,0"
canonical H4,"HIST1H4F,HIST1H4A,HIST1H4L,HIST1H4I",ASF1A,"Chromatin remodelers,Histone chaperones,DNA repair",,"1,1,1,0","1,1,1,2","0,0,0,2"
canonical H4,"HIST1H4F,HIST1H4A,HIST1H4I",CHAF1A,"Chromatin remodelers,Histone chaperones,Replication associated,DNA repair",,"1,2,0","1,2,1","0,0,1"
canonical H4,"HIST1H4C,HIST1H4A",PARP1,"PTM writers,TF,Chromatin architecture,DNA repair",,"1,2","1,2","0,0"
canonical H4,HIST4H4,SETD8,"PTM writers,TF",,1,1,0
canonical H4,"HIST4H4,HIST1H4A",ORC5,"TF,Replication associated",,"1,1","1,0","0,0"
canonical H4,"HIST4H4,HIST1H4A",ANP32A,,,"1,1","1,0","0,0"
canonical H4,HIST4H4,SET,"Histone chaperones,Replication associated",,1,1,0
canonical H4,"HIST4H4,HIST2H4A,HIST1H4A,HIST1H4I",RBBP4,"PTM writers,PTM erasers,PTM readers,Chromatin remodelers,Histone chaperones,Transcription associated,Replication associated",,"1,1,7,0","1,1,7,3","0,0,0,3"
canonical H4,"HIST4H4,HIST1H4A",TAF1A,TF,,"1,1","1,0","0,0"
canonical H4,"HIST4H4,HIST1H4I",PRMT5,PTM writers,,"1,0","1,1","0,1"
canonical H4,"HIST2H4A,HIST1H4A",HIST1H3A,,,"1,3","1,3","0,0"
canonical H4,"HIST2H4A,HIST1H4A,HIST1H4I",RBBP7,"PTM writers,PTM erasers,Chromatin remodelers,Histone chaperones,TF,Transcription associated,Replication associated",,"1,5,0","1,5,4","0,0,4"
canonical H4,HIST1H4G,APOC1,,,0,1,1
canonical H4,HIST1H4A,KANSL1,,,1,1,0
canonical H4,HIST1H4A,MPHOSPH8,PTM readers,,1,1,0
canonical H4,HIST1H4A,ING5,"PTM writers,PTM readers,Replication associated",,1,1,0
canonical H4,HIST1H4A,L3MBTL2,"PTM readers,TF",,3,3,0
canonical H4,HIST1H4A,HIST1H3D,,,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",NAA40,PTM writers,,"1,0","1,3","0,3"
canonical H4,HIST1H4A,GATAD2B,"Chromatin remodelers,TF",,2,2,0
canonical H4,HIST1H4A,RCOR1,TF,6VYP,1,1,0
canonical H4,HIST1H4A,JADE3,"PTM writers,PTM readers",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",MCM5,"TF,Replication associated",,"1,0","1,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",MCM6,"TF,Replication associated",,"4,0","4,0","0,3"
canonical H4,"HIST1H4A,HIST1H4I",SUPT16H,"Histone chaperones,TF,Replication associated,DNA repair",6UPK,"6,0","6,2","0,2"
canonical H4,"HIST1H4A,HIST1H4I",SUPT16H,"Histone chaperones,TF,Replication associated,DNA repair",6UPL,"6,0","6,2","0,2"
canonical H4,HIST1H4A,ERCC6,"Chromatin remodelers,TF,DNA repair",,2,2,0
canonical H4,HIST1H4A,MSL2,,,1,1,0
canonical H4,HIST1H4A,SETD1A,PTM writers,,1,1,0
canonical H4,HIST1H4A,TOP2A,"PTM readers,TF,Replication associated,DNA repair",,2,2,0
canonical H4,HIST1H4A,PHF2,"PTM erasers,PTM readers,TF",,1,1,0
canonical H4,HIST1H4A,HIST2H3D,,,1,1,0
canonical H4,HIST1H4A,HDAC3,"PTM erasers,PTM readers,Chromatin remodelers,TF",,2,2,0
canonical H4,"HIST1H4A,HIST1H4I",ATRX,"PTM readers,DNA modificators,Histone chaperones,TF,DNA repair",,"2,0","2,1","0,1"
canonical H4,HIST1H4A,EED,"PTM writers,PTM readers,TF,Transcription associated",,1,1,0
canonical H4,HIST1H4A,KMT2B,"PTM writers,TF",,1,1,0
canonical H4,HIST1H4A,WHSC1L1,PTM writers,,1,1,0
canonical H4,HIST1H4A,SIN3A,"PTM erasers,Chromatin remodelers,TF,Replication associated",,2,2,0
canonical H4,"HIST1H4A,HIST1H4I",ASF1B,Histone chaperones,,"1,0","1,1","0,1"
canonical H4,HIST1H4A,CTCF,"DNA modificators,TF,Chromatin architecture",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",IPO4,Histone chaperones,,"1,0","1,1","0,1"
canonical H4,HIST1H4A,SFMBT1,PTM readers,,1,1,0
canonical H4,HIST1H4A,DMAP1,"PTM writers,DNA modificators,Chromatin remodelers,TF,Replication associated",,1,1,0
canonical H4,HIST1H4A,HDAC2,"PTM writers,PTM erasers,Chromatin remodelers,TF,Transcription associated,Replication associated",,2,2,0
